"scope","request_id","user_id","start_time","region"
"33467","860062a0-b403-43f5-b5c4-26bb66df","860062a0-b403-43f5-b5c4-26bb66df",2021-06-10 18:59:46,"[{""end_time"":1623322786495,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623322786495,""status"":""ENTER""},{""end_time"":1623322786495,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623322786495,""status"":""ENTER""}]"
"33467","86ecf60d-26ae-4038-8b86-f73ef2d4","ea7e497b-4200-438d-9002-505b2c7a",2021-06-10 19:57:43,"[{""end_time"":1623326263395,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623326263395,""status"":""ENTER""},{""end_time"":1623326263395,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623326263395,""status"":""ENTER""}]"
"33467","87128931-078c-49e7-853a-b107e98e","ea7e497b-4200-438d-9002-505b2c7a",2021-06-10 09:53:53,"[{""end_time"":1623290033628,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623290033628,""status"":""ENTER""},{""end_time"":1623290033628,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623290033628,""status"":""ENTER""}]"
"33467","87e2cd9d-a7f2-481d-99f6-79c3d44e","f6459b62-f06a-4e2b-b52b-9a14385c",2021-06-10 13:19:49,"[{""end_time"":1623302389773,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623302389773,""status"":""ENTER""},{""end_time"":1623302389773,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623302389773,""status"":""ENTER""}]"
"33467","880bd0f8-9f9d-4fb7-97c4-068852a5","0e31d478-005c-48a7-acff-df034af5949b",2021-06-10 07:52:25,"[{""end_time"":1623282745080,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623282745080,""status"":""ENTER""},{""end_time"":1623282745080,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623282745080,""status"":""ENTER""}]"
"33467","88570ab6-9a12-45f7-b491-3f5870aa","1a391ff8-edf6-48fa-95e3-bd4c283d",2021-06-10 13:13:32,"[{""end_time"":1623302012257,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623302012257,""status"":""ENTER""},{""end_time"":1623302012257,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623302012257,""status"":""ENTER""}]"
"33467","88bbfa82-0343-409d-9498-8751e2a9","75a0f7b9-c017-4184-82d6-5c32a615",2021-06-10 11:09:31,"[{""end_time"":1623294571395,""entrance_id"":""33523"",""entrance_type"":""REGION"",""region_id"":""33480"",""region_type"":""DEFAULT"",""start_time"":1623294571395,""status"":""ENTER""}]"
"33467","89745dd3-f128-46f2-b0d0-e0b9e053","c7703224-279b-4ebc-922d-f39f726e",2021-06-10 19:17:41,"[{""end_time"":1623323861237,""entrance_id"":""33523"",""entrance_type"":""REGION"",""region_id"":""33480"",""region_type"":""DEFAULT"",""start_time"":1623323861237,""status"":""ENTER""}]"
"33467","897eec85-4434-41ac-aa5e-901027d8","1a391ff8-edf6-48fa-95e3-bd4c283d",2021-06-10 16:29:08,"[{""end_time"":1623313748771,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623313748771,""status"":""ENTER""},{""end_time"":1623313748771,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623313748771,""status"":""ENTER""}]"
"33467","8b09efb8-da0a-447b-b1ae-a53a547a","e4adb892-be50-4158-bdaa-e66b18b1",2021-06-10 12:40:35,"[{""end_time"":1623300035715,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623300035715,""status"":""ENTER""},{""end_time"":1623300035715,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623300035715,""status"":""ENTER""}]"
"33467","8bad9c81-2e24-4ca3-ae39-b9e9de0e","07c910f9-46f6-44cb-bdad-1a52a79d",2021-06-10 12:12:34,"[{""end_time"":1623298354754,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623298354754,""status"":""ENTER""},{""end_time"":1623298354754,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623298354754,""status"":""ENTER""}]"
"33467","8c2ea18e-3da6-4629-b8ec-f642a8cf","3cc2d494-f3ae-4f6b-8230-a2863998",2021-06-10 13:55:05,"[{""end_time"":1623304505277,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623304505277,""status"":""ENTER""},{""end_time"":1623304505277,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623304505277,""status"":""ENTER""}]"
"33467","8d5649d5-fde8-42bf-9ab6-a5365146","53ac8c50-eb39-493e-8e62-81fff5bf",2021-06-10 17:48:13,"[{""end_time"":1623318493446,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623318493446,""status"":""ENTER""},{""end_time"":1623318493446,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623318493446,""status"":""ENTER""}]"
"33467","8de2574f-6aa0-457a-9b21-7052d02d","a363cf62-b6c4-424e-89c2-b0facedc",2021-06-10 15:10:23,"[{""end_time"":1623309023640,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623309023640,""status"":""ENTER""},{""end_time"":1623309023640,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623309023640,""status"":""ENTER""}]"
