4-1,14,put,15,15,15,15,14,15,15,15,14,14
4-1,14,pick,15,15,15,15,14,15,15,15,14,14
4-1,45,put,44,46,44,45,45,46,46,45,46,46
4-1,45,pick,44,44,46,43,45,46,46,46,46,46
4-1,121,put,121,121,121,120,122,121,120,121,120,120
4-1,121,pick,121,121,120,121,121,120,121,120,120,121
4-1,378,put,378,377,376,377,378,377,377,377,377,377
4-1,378,pick,377,377,377,378,377,377,377,377,377,377
4-2,14,put,12,14,14,12,13,13,13,14,14,13
4-2,14,pick,13,12,13,13,13,12,13,14,14,14
4-2,45,put,44,43,44,45,44,44,44,43,45,44
4-2,45,pick,44,43,43,45,44,44,45,43,44,44
4-2,121,put,120,120,120,119,120,120,121,121,119,120
4-2,121,pick,121,119,120,119,121,120,121,119,119,120
4-2,378,put,377,375,376,377,377,377,376,378,376,376
4-2,378,pick,375,376,377,376,377,376,377,378,377,376
4-3,14,put,13,11,14,14,13,15,14,14,15,13
4-3,14,pick,14,16,12,14,13,14,14,14,15,14
4-3,45,put,45,45,45,45,44,45,44,44,46,45
4-3,45,pick,45,45,45,45,45,44,45,44,45,45
4-3,121,put,122,121,121,121,121,120,121,121,120,121
4-3,121,pick,121,121,121,121,121,120,121,120,121,121
4-3,378,put,377,376,377,378,376,378,377,375,376,377
4-3,378,pick,376,376,377,376,377,377,375,376,377,376
4-4,14,put,14,14,15,14,15,14,14,16,13,13
4-4,14,pick,15,15,14,15,15,14,14,15,12,13
4-4,45,put,45,45,45,45,45,46,45,45,45,45
4-4,45,pick,46,45,45,46,45,45,44,45,45,45
4-4,121,put,121,121,120,121,119,122,120,121,120,119
4-4,121,pick,121,121,120,120,121,121,119,121,119,119
4-4,378,put,377,379,378,379,378,377,378,379,375,378
4-4,378,pick,377,378,378,379,379,379,376,377,376,375
4-5,14,put,15,15,13,14,15,14,14,14,14,15
4-5,14,pick,15,15,14,14,15,13,14,14,15,14
4-5,45,put,44,44,44,46,45,45,46,46,46,45
4-5,45,pick,42,44,44,46,45,45,47,45,46,45
4-5,121,put,120,123,122,123,122,122,122,122,122,123
4-5,121,pick,120,122,122,123,121,123,122,121,121,122
4-5,378,put,378,380,380,381,378,377,380,381,377,378
4-5,378,pick,377,379,379,379,378,380,378,379,378,378
4-6,14,put,14,13,14,13,14,14,13,13,15,14
4-6,14,pick,14,14,13,13,14,12,12,14,15,14
4-6,45,put,44,44,45,45,44,43,46,45,44,45
4-6,45,pick,45,44,44,44,44,44,45,46,44,44
4-6,121,put,122,120,119,121,121,121,122,122,121,121
4-6,121,pick,122,120,119,120,121,121,121,121,120,122
4-6,378,put,378,381,379,376,378,378,377,377,377,376
4-6,378,pick,378,380,379,375,378,378,378,378,376,377
4-9,14,put,14,15,15,13,14,14,14,13,13,14
4-9,14,pick,14,15,15,13,14,14,14,13,14,13
4-9,45,put,44,45,44,45,45,45,44,45,45,45
4-9,45,pick,45,45,44,45,45,45,44,45,45,46
4-9,121,put,121,121,121,120,120,121,121,120,121,122
4-9,121,pick,121,121,121,120,120,121,122,120,121,122
4-9,378,put,378,376,377,376,377,378,377,378,377,378
